TrajectoryName,Time,X,Y,Z
Trajectory_101,4.3,-280.03054689228856,139.9178310280362,0.0
Trajectory_101,4.35,-280.17455621572645,140.09420060871406,0.0
Trajectory_101,4.4,-280.3200949942822,140.272443327154,0.0
Trajectory_101,4.45,-280.46295330612594,140.44740325333146,0.0
Trajectory_101,4.5,-280.60313115152564,140.61908038855336,0.0
Trajectory_101,4.55,-280.74062853316667,140.78747473200423,0.0
Trajectory_101,4.6,-280.8767737054793,140.95147944541935,0.0
Trajectory_101,4.65,-281.0121158947126,141.11063685868086,0.0
Trajectory_101,4.7,-281.14471258682784,141.2665656688601,0.0
Trajectory_101,4.75,-281.274563784492,141.41926587797747,0.0
Trajectory_101,4.8,-281.40166948552206,141.56873748593105,0.0
Trajectory_101,4.85,-281.46488903434596,141.64472379928594,0.0
Trajectory_101,4.85,-281.52764611552556,141.7135518436208,0.0
Trajectory_101,4.9,-281.65463502744615,141.85181635248196,0.0
Trajectory_101,4.95,-281.7787571184572,141.9869594916361,0.0
Trajectory_101,5.0,-281.90001239120267,142.11898125956532,0.0
Trajectory_101,5.05,-282.0201579637008,142.2462130866366,0.0
Trajectory_101,5.1,-282.1398006435899,142.36807875166264,0.0
Trajectory_101,5.15,-282.2564742326082,142.48692016125685,0.0
Trajectory_101,5.2,-282.3701787309572,142.60273731602842,0.0
Trajectory_101,5.25,-282.48091414125605,142.71553021446474,0.0
Trajectory_101,5.3,-282.5407534856527,142.76458512090164,0.0
Trajectory_101,5.3,-282.5931177142938,142.82063432831524,0.0
Trajectory_101,5.35,-282.7049595599997,142.91997327198766,0.0
Trajectory_101,5.4,-282.81363272801644,143.0164977712584,0.0
Trajectory_101,5.45,-282.91940676449843,143.10989358156405,0.0
Trajectory_101,5.5,-283.02482274597384,143.1971982314904,0.0
Trajectory_101,5.55,-283.1269746787029,143.28179962321363,0.0
Trajectory_101,5.6,-283.2258625628434,143.3636977587629,0.0
Trajectory_101,5.65,-283.3214864009708,143.4428926352135,0.0
Trajectory_101,5.7,-283.4138461883874,143.5193842553087,0.0
Trajectory_101,5.75,-283.4547664717837,143.55181868889386,0.0
Trajectory_101,5.75,-283.50501001089367,143.59056070807645,0.0
Trajectory_101,5.8,-283.59388289744624,143.6578049020757,0.0
Trajectory_101,5.85,-283.6793760839245,143.72249190149415,0.0
Trajectory_101,5.9,-283.76148957045353,143.78462170695744,0.0
Trajectory_101,5.95,-283.84022335473054,143.8441943198024,0.0
Trajectory_101,6.0,-283.91557744171575,143.90120973782876,0.0
Trajectory_101,6.05,-283.94985811765116,143.92880535881008,0.0
Trajectory_101,6.05,-283.9893700391198,143.95314999688375,0.0
Trajectory_101,6.1,-284.0602135919994,144.00193666523887,0.0
Trajectory_101,6.15,-284.12756664072293,144.048319587049,0.0
Trajectory_101,6.2,-284.1914291878058,144.09229876012276,0.0
Trajectory_101,6.25,-284.2592026405093,144.13897119511887,0.0
Trajectory_101,6.3,-284.2592026405093,144.13897119511887,0.0
Trajectory_101,6.35,-284.31551931439674,144.1777538754232,0.0
Trajectory_101,6.4,-284.3831517459087,144.22432919644814,0.0
Trajectory_101,6.45,-284.46209085253815,144.27869089630133,0.0
Trajectory_101,6.5,-284.5244879007978,144.29760665052686,0.0
Trajectory_101,6.5,-284.5556856573971,144.33543562316092,0.0
Trajectory_101,6.55,-284.66310260362474,144.3958476985271,0.0
Trajectory_101,6.6,-284.78241077686397,144.46294748454542,0.0
Trajectory_101,6.65,-284.91394597794067,144.53600216487743,0.0
Trajectory_101,6.7,-285.0590559942516,144.61238015185995,0.0
Trajectory_101,6.75,-285.2160386230238,144.6950072365919,0.0
Trajectory_101,6.8,-285.38478550904665,144.78382638291822,0.0
Trajectory_101,6.85,-285.56656417671473,144.87600554288622,0.0
Trajectory_101,6.9,-285.76129054564495,144.97130218321686,0.0
Trajectory_101,6.95,-285.96745735076547,145.0721976269023,0.0
Trajectory_101,7.0,-286.18644038207424,145.17518616135777,0.0
Trajectory_101,7.05,-286.4174423304209,145.28125145768223,0.0
Trajectory_101,7.1,-286.6592034948422,145.39225688527767,0.0
Trajectory_101,7.15,-286.7871309205868,145.4478630831924,0.0
Trajectory_101,7.15,-286.91395258234553,145.5021346417663,0.0
Trajectory_101,7.2,-287.1806622867832,145.6121914421041,0.0
Trajectory_101,7.25,-287.4584871892925,145.72293563997684,0.0
Trajectory_101,7.3,-287.74715904413443,145.8337168886015,0.0
Trajectory_101,7.35,-288.0447693206965,145.94792836560646,0.0
Trajectory_101,7.4,-288.35381897151893,146.05716347019512,0.0
Trajectory_101,7.45,-288.67138263569836,146.16779603730984,0.0
Trajectory_101,7.5,-288.9986902691107,146.27416221247378,0.0
Trajectory_101,7.55,-289.3341027547209,146.37940627227178,0.0
Trajectory_101,7.6,-289.51016334193446,146.43472083250475,0.0
Trajectory_101,7.6,-289.6780153458137,146.47942272437922,0.0
Trajectory_101,7.65,-290.0319376591545,146.56677138698717,0.0
Trajectory_101,7.7,-290.3932320316631,146.64754658385243,0.0
Trajectory_101,7.75,-290.75996462566513,146.72778748576556,0.0
Trajectory_101,7.8,-291.13287961809607,146.80115141969034,0.0
Trajectory_101,7.85,-291.51055639335783,146.87230816364377,0.0
Trajectory_101,7.9,-291.89327294956587,146.93669623728803,0.0
Trajectory_101,7.95,-292.2797395903628,146.99936478076518,0.0
Trajectory_101,8.0,-292.4712360061948,147.02243771606143,0.0
Trajectory_101,8.0,-292.67026885056515,147.05489635032205,0.0
Trajectory_101,8.05,-293.0647204501748,147.10187920103715,0.0
Trajectory_101,8.1,-293.462428140974,147.1407210129186,0.0
Trajectory_101,8.15,-293.8625334953537,147.17696658887814,0.0
Trajectory_101,8.2,-294.06126942062843,147.18879386259272,0.0
Trajectory_101,8.2,-294.2650431821153,147.2058066357951,0.0
Trajectory_101,8.25,-294.6697158275768,147.22749916745136,0.0
Trajectory_101,8.3,-294.8705689768864,147.23316635327578,0.0
Trajectory_101,8.3,-295.07614540802325,147.24013186370513,0.0
Trajectory_101,8.35,-295.48406739756007,147.24627005320897,0.0
Trajectory_101,8.4,-295.6893906483686,147.24427682316485,0.0
Trajectory_101,8.4,-295.8926842555775,147.23638547141522,0.0
Trajectory_101,8.45,-296.30124477729476,147.2019135285758,0.0
Trajectory_101,8.5,-296.7092339772863,147.15336968642185,0.0
Trajectory_101,8.55,-297.1162616955972,147.09194896932064,0.0
Trajectory_101,8.6,-297.3175187639518,147.05583613675475,0.0
Trajectory_101,8.6,-297.5212190307391,147.0147673189553,0.0
Trajectory_101,8.65,-297.9241199813581,146.92459245997694,0.0
Trajectory_101,8.7,-298.324484992292,146.82178329109516,0.0
Trajectory_101,8.75,-298.7215667334988,146.70537202636513,0.0
Trajectory_101,8.8,-299.11006529427124,146.56223979829642,0.0
Trajectory_101,8.85,-299.2979418877609,146.47934498917337,0.0
Trajectory_101,8.85,-299.4919345760261,146.40117483119815,0.0
Trajectory_101,8.9,-299.6787940965117,146.31304410073065,0.0
Trajectory_101,8.9,-299.8668590269468,146.22382197265514,0.0
Trajectory_101,8.95,-300.23578078649,146.0337043972909,0.0
Trajectory_101,9.0,-300.41193657062325,145.92500429812463,0.0
Trajectory_101,9.0,-300.59542620054873,145.8263584715641,0.0
Trajectory_101,9.05,-300.7737477107541,145.71435310478736,0.0
Trajectory_101,9.05,-300.94414913762,145.60073409073362,0.0
Trajectory_101,9.1,-301.1165171266941,145.48152647833388,0.0
Trajectory_101,9.1,-301.28698673119214,145.36604078810666,0.0
Trajectory_101,9.15,-301.62160865818885,145.1193374384814,0.0
Trajectory_101,9.2,-301.78301426598364,144.99369781148727,0.0
Trajectory_101,9.2,-301.9450220881455,144.85803522229867,0.0
Trajectory_101,9.25,-302.26647024541836,144.59403473159514,0.0
Trajectory_101,9.3,-302.4209491797991,144.4615185666072,0.0
Trajectory_101,9.3,-302.578448547831,144.3189663103547,0.0
Trajectory_101,9.35,-302.88557842364804,144.0381808330337,0.0
Trajectory_101,9.4,-303.19275988741117,143.75734818869714,0.0
Trajectory_101,9.45,-303.4999861580553,143.47647458449373,0.0
Trajectory_101,9.5,-303.80725133879156,143.19556540689112,0.0
Trajectory_101,9.55,-304.1145503056635,142.91462534063615,0.0
Trajectory_101,9.6,-304.4218786130636,142.63365845231004,0.0
Trajectory_101,9.65,-304.7292323919805,142.35266827600736,0.0
Trajectory_101,9.7,-305.03660828700947,142.07165787989712,0.0
Trajectory_101,9.75,-305.34400338367277,141.79062993065938,0.0
Trajectory_101,9.8,-305.6514151526977,141.50958673880294,0.0
Trajectory_101,9.85,-305.9588413918727,141.2285303160211,0.0
Trajectory_101,9.9,-306.2662801969746,140.94746240847235,0.0
Trajectory_101,9.95,-306.573729908471,140.6663845279358,0.0
Trajectory_101,10.0,-306.88118908971546,140.38529799075712,0.0
Trajectory_101,10.05,-307.18865648818434,140.10420394050695,0.0
Trajectory_101,10.1,-307.49613102336446,139.82310336568352,0.0
Trajectory_101,10.15,-307.80361175041213,139.54199713086874,0.0
Trajectory_101,10.2,-308.1110978553082,139.26088597956053,0.0
Trajectory_101,10.25,-308.41858862820857,138.97977056037223,0.0
Trajectory_101,10.3,-308.72608345133074,138.6986514383623,0.0
Trajectory_101,10.35,-308.8764886918006,138.55209566434291,0.0
Trajectory_101,10.35,-309.02791309624547,138.4116365508264,0.0
Trajectory_101,10.4,-309.32073117990336,138.11524826991618,0.0
Trajectory_101,10.45,-309.61355178756867,137.81885743528048,0.0
Trajectory_101,10.5,-309.9063745849112,137.5224643825564,0.0
Trajectory_101,10.55,-310.1991992836315,137.2260694077278,0.0
Trajectory_101,10.6,-310.492025634193,136.92967276146038,0.0
Trajectory_101,10.65,-310.7848534137092,136.63327466397158,0.0
Trajectory_101,10.7,-311.0776824380555,136.33687530998782,0.0
Trajectory_101,10.75,-311.37051254248985,136.040474863079,0.0
Trajectory_101,10.8,-311.5139382791664,135.89118561336622,0.0
Trajectory_101,10.8,-311.66307513432184,135.74382186843323,0.0
Trajectory_101,10.85,-311.9398997503081,135.4324171452157,0.0
Trajectory_101,10.9,-312.21672503441505,135.121011672337,0.0
Trajectory_101,10.95,-312.4935508970032,134.80960554751448,0.0
Trajectory_101,11.0,-312.770377262969,134.4981988578441,0.0
Trajectory_101,11.05,-313.04720406689967,134.18679167696797,0.0
